file_id,dataset,text,category,text_length,word_count,textblob_polarity,textblob_subjectivity,mh_depression,mh_anxiety,mh_stress,mh_positive,mh_negative,exclamations,questions
synthetic_very_negative_0000,Synthetic,Feeling worthless and like a burden,very_negative,35,6,-0.8,0.9,1,0,0,0,False,0,0
synthetic_very_negative_0001,Synthetic,Feeling worthless and like a burden,very_negative,35,6,-0.8,0.9,1,0,0,0,False,0,0
synthetic_very_negative_0002,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0003,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0004,Synthetic,Feeling worthless and like a burden,very_negative,35,6,-0.8,0.9,1,0,0,0,False,0,0
synthetic_very_negative_0005,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0006,Synthetic,Feeling worthless and like a burden,very_negative,35,6,-0.8,0.9,1,0,0,0,False,0,0
synthetic_very_negative_0007,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0008,Synthetic,Feeling worthless and like a burden,very_negative,35,6,-0.8,0.9,1,0,0,0,False,0,0
synthetic_very_negative_0009,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0010,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0011,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0012,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0013,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0014,Synthetic,Feeling worthless and like a burden,very_negative,35,6,-0.8,0.9,1,0,0,0,False,0,0
synthetic_very_negative_0015,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0016,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0017,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0018,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0019,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0020,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0021,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0022,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0023,Synthetic,Feeling worthless and like a burden,very_negative,35,6,-0.8,0.9,1,0,0,0,False,0,0
synthetic_very_negative_0024,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0025,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0026,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0027,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0028,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0029,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0030,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0031,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0032,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0033,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0034,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0035,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0036,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0037,Synthetic,Feeling worthless and like a burden,very_negative,35,6,-0.8,0.9,1,0,0,0,False,0,0
synthetic_very_negative_0038,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0039,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0040,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0041,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0042,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0043,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0044,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0045,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
synthetic_very_negative_0046,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0047,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0048,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0049,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0050,Synthetic,"Life feels empty, I'm lost and alone",very_negative,36,7,-0.1,0.5,1,0,0,0,False,0,0
synthetic_very_negative_0051,Synthetic,Everything seems pointless and meaningless,very_negative,42,5,-0.375,0.75,0,0,0,0,False,0,0
synthetic_very_negative_0052,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0053,Synthetic,Completely overwhelmed and can't cope,very_negative,37,5,0.1,0.4,0,0,1,0,False,0,0
synthetic_very_negative_0054,Synthetic,I feel so hopeless and don't see any point,very_negative,42,9,0.0,0.0,1,0,0,0,False,0,0
